Empresa Emisora,Credito,Status Facturacion,Record ID#,Tipo de comision,Status Reparadora,Referencia,Monto,Fecha de facturacion,Fecha de envio de cobro,Fecha de Cobro,Banco Receptor,Fecha Operacion,Saldo,Factura Electronica,Fecha FE,Folio
RESPALDO COLOMBIA SAS,yes,Cancelado,263859,Interes Moratorio CT,,6002276R,"$246,234",01-12-2021,,,,01-12-2021,,yes,15-12-2021,64999
RESPALDO COLOMBIA SAS,yes,Cobro Parcial Cobrado,263860,Interes Moratorio CT,,6002104R,"$651,400",01-12-2021,,28-02-2022,Respaldo,01-12-2021,$0,yes,15-12-2021,64924
RESPALDO COLOMBIA SAS,yes,Cancelado,263861,Interes Moratorio CT,,6002037R,"$3,045,076",01-12-2021,,,,01-12-2021,"$2,795,076",yes,15-12-2021,64475
RESPALDO COLOMBIA SAS,yes,Por Cobrar,263862,Interes Moratorio CT,,6001954R,"$568,205",01-12-2021,,,,01-12-2021,,yes,15-12-2021,65111
RESPALDO COLOMBIA SAS,yes,Cancelado,263863,Interes Moratorio CT,,6001864R,"$101,797",01-12-2021,,,,01-12-2021,,yes,15-12-2021,63876
RESPALDO COLOMBIA SAS,yes,Cancelado,263864,Interes Moratorio CT,,6001818R,"$107,115",01-12-2021,,,,01-12-2021,,yes,15-12-2021,63761
RESPALDO COLOMBIA SAS,yes,Cobro Parcial,263865,Interes Moratorio CT,,6001778R,"$342,232",01-12-2021,,,,01-12-2021,"$92,232",yes,15-12-2021,64644
RESPALDO COLOMBIA SAS,yes,Por Cobrar,263866,Interes Moratorio CT,,6001752R,"$494,271",01-12-2021,,,,01-12-2021,,yes,15-12-2021,65055
RESPALDO COLOMBIA SAS,yes,Cancelado,263867,Interes Moratorio CT,,6001622R,"$1,529,203",01-12-2021,,,,01-12-2021,,yes,15-12-2021,64020
RESPALDO COLOMBIA SAS,yes,Cancelado,263868,Interes Moratorio CT,,6001616R,"$729,582",01-12-2021,,,,01-12-2021,,yes,15-12-2021,64868
RESPALDO COLOMBIA SAS,yes,Cancelado,263869,Interes Moratorio CT,,6001540R,"$648,599",01-12-2021,,,,01-12-2021,,yes,15-12-2021,64298
RESPALDO COLOMBIA SAS,yes,Cancelado,263870,Interes Moratorio CT,,6001483R,"$981,440",01-12-2021,,,,01-12-2021,,yes,15-12-2021,65141
